1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 90, 119, 251, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 233, 229, 151, 49, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 72, 93, 234, 174, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 115, 147, 227, 195, 63, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 3, 217, 53, 1, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 157, 14, 156, 76, 19, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 6, 48, 47, 123, 81, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 16, 30, 39, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 53, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 60, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 178, 217, 103, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 229, 5, 158, 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 155, 118, 158, 200, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 30, 73, 141, 212, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 0, 21, 105, 26, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 6, 10, 133, 173, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19, 7, 12, 11, 37, 195, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 19, 20, 34, 51, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 29, 0, 23, 6, 28, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 12, 0, 30, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 66, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 35, 47, 146, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 64, 158, 37, 198, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 179, 77, 163, 0, 154, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69, 181, 141, 200, 121, 228, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 35, 72, 241, 158, 96, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 56, 53, 40, 45, 204, 5, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 52, 181, 126, 102, 125, 147, 20, 0, 0, 0, 0, 0, 0, 0, 1, 0, 11, 17, 0, 238, 99, 46, 201, 128, 0, 0, 0, 0, 0, 0, 0, 0, 2, 81, 12, 6, 74, 6, 54, 40, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23, 0, 16, 16, 9, 218, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 14, 0, 11, 3, 2, 17, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 128, 3, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 216, 54, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 61, 187, 39, 26, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 17, 163, 163, 170, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 73, 94, 138, 119, 58, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 144, 9, 159, 27, 64, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 46, 190, 33, 189, 44, 23, 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 119, 43, 58, 81, 10, 139, 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 114, 0, 60, 59, 129, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 25, 0, 47, 1, 24, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 44, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 117, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 189, 102, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 137, 177, 199, 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 137, 93, 150, 48, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 53, 111, 163, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 37, 65, 108, 240, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 73, 5, 76, 86, 232, 106, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 13, 121, 9, 120, 35, 126, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 4, 29, 25, 242, 176, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 74, 0, 40, 36, 103, 97, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 55, 0, 71, 17, 101, 253, 14, 0, 0, 0, 0, 0, 0, 1, 2, 2, 163, 2, 3, 158, 2, 94, 171, 14, 0, 0, 0, 0, 0, 1, 0, 0, 7, 10, 0, 8, 10, 0, 133, 109, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 10, 113, 44, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 43, 28, 138, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 40, 24, 109, 73, 110, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 31, 18, 37, 16, 103, 64, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 85, 5, 85, 138, 29, 50, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 108, 34, 190, 40, 180, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 7, 197, 4, 205, 17, 255, 108, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 45, 2, 248, 90, 246, 63, 220, 0, 0, 0, 0, 0, 0, 1, 2, 5, 187, 0, 12, 157, 23, 24, 61, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 0, 14, 78, 11, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 137, 134, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 30, 138, 79, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 14, 127, 125, 56, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35, 15, 150, 20, 18, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14, 53, 32, 238, 129, 49, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 76, 22, 93, 222, 206, 208, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 148, 15, 157, 75, 164, 219, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 206, 146, 67, 31, 121, 10, 246, 0, 0, 0, 0, 0, 0, 0, 2, 4, 14, 156, 2, 151, 21, 197, 226, 163, 0, 0, 0, 0, 0, 0, 1, 0, 2, 45, 240, 6, 22, 62, 14, 187, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 4, 20, 17, 227, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 61, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 198, 134, 246, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 164, 155, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 180, 45, 192, 53, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 163, 85, 68, 175, 254, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 248, 36, 225, 238, 174, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 118, 208, 107, 228, 57, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 78, 11, 81, 97, 190, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 62, 2, 78, 70, 177, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 6, 23, 25, 240, 141, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 0, 18, 13, 146, 210, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 1, 5, 6, 242, 61, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39, 4, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 10, 146, 145, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29, 19, 25, 49, 74, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 5, 29, 26, 247, 149, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 64, 2, 72, 128, 113, 129, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 115, 82, 38, 151, 53, 146, 27, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 66, 2, 150, 147, 202, 190, 9, 0, 0, 0, 0, 0, 0, 2, 0, 3, 118, 192, 0, 16, 60, 2, 24, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 2, 6, 189, 1, 248, 172, 11, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 0, 17, 8, 0, 102, 145, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 214, 80, 26, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47, 45, 83, 124, 57, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 198, 161, 135, 154, 49, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 239, 134, 17, 11, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 53, 126, 127, 184, 229, 162, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 205, 17, 209, 103, 47, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 102, 29, 102, 72, 213, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 15, 27, 25, 94, 228, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 28, 4, 16, 12, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 250, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
